動画の長さ,投稿日,再生回数,高評価数,低評価数,コメント数,ハッシュタグ数,コラボ動画,性別,人数,芸能人,動画名,YouTuber,URL
724,44044,219569,3476,49,332,2,0,1,1,0,【毎日メイク】最新お気に入りコスメで夏メイクご紹介！,水越みさと,https://youtu.be/Sq978TnU13A
403,43953,1267639,35000,365,2040,3,0,0,5,0,【対決】Mrs.GREEN APPLEマッシュアップメドレー ?Mrs.GREEN APPLE Mash Up Medley Battle?,シズクノメ,https://youtu.be/4pkoGfS5HIs
687,43921,5325365,130000,2201,7975,2,1,0,1,1,「TAKERU NO PLAN DRIVE」#1,佐藤健,https://youtu.be/1hM8rarOz3g
716,42835,4260183,100000,3200,9790,0,0,0,1,0,クラス替え最悪、泣いた。, kemio,https://youtu.be/1UC-en6UjV4
166,43414,298366,6010,73,648,0,1,1,1,0,上海いってきた前編?超キレイ版?,古川優香,https://youtu.be/3s2jR1ZT4zE
1180,44013,381143,9514,95,1006,0,1,0,1,0,４ヶ月ぶりのせりしゅん【水トク】,じゅきぱっぱ,https://www.youtube.com/watch?v=FgM9gCOE2Gs&t=205s
605,43575,2900457,38000,670,2089,0,1,0,1,0,皆さんにお伝えしたい事があります。,せりしゅん,https://www.youtube.com/watch?v=oxdcJRIGYsU&t=236s
496,44151,443608,8961,130,606,2,0,1,1,0,【GU】売り切れ続出！どうしても欲しかった新作を紹介！,ねお,https://www.youtube.com/watch?v=b_MmXUIBbgE&t=104s
661,44129,656438,16000,275,588,0,0,1,1,0,Francfranc】女子憧れ家具を爆買いしたら総額〇〇万超えした,かす,https://www.youtube.com/watch?v=VvNy7sEWg9Q
1303,43903,1128177,27000,233,1582,3,0,0,2,0,アメリカのディズニーで1万円使いきらなくても帰ります！！,みきおだ,https://www.youtube.com/watch?v=mUyvVUjfQ2E
510,44083,1024686,23000,781,2460,0,0,1,1,0,ダイエット中だけどスタバで食べ放題＆飲み放題?♪,エミリン,https://www.youtube.com/watch?v=imNsrJwQuXc
241,43795,9518025,200000,1442,11631,0,1,0,2,0,テオくんの誕生日ラップのライブバージョンwwwwwwww,スカイピース,https://www.youtube.com/watch?v=A0OrOYhKx4U
510,44155,133449,2355,36,70,0,0,2,3,0,いつもの古川メイクを完成させろ！！,さんこいち,https://www.youtube.com/watch?v=HzpBNJo_B4k&list=LL&index=6
396,44151,29195,890,7,78,3,0,0,5,0,対決】あいみょん[Part2]マッシュアップメドレー -AIMYON [Part2] Mash Up Medley Battle-,シズクノメ,https://www.youtube.com/watch?v=RqlST__-3W4&list=LL&index=22
464,44142,748723,21000,293,1412,3,0,2,2,0,体重3桁のデブとTWICE「I CAN'T STOP ME」30分で覚えて踊ってみたww,パパラピーズ,https://www.youtube.com/watch?v=i5GELiftSuE&list=LL&index=32
534,44135,2880558,100000,5597,5421,3,0,0,1,1,【鬼滅の刃】炎／紅蓮華 仮装して歌ってみた！【Demon Slayer:Kimetsu no Yaiba】,手越祐也,https://www.youtube.com/watch?v=jqrm3jcfMuw&list=LL&index=52
749,44144,2224546,36000,1449,2006,1,1,0,1,0,手越くんに牛牛奢ろうとしたら見事に返り討ちされてスター魅せつけられた…,ヒカル,https://www.youtube.com/watch?v=vGZS11w7OLI
810,43881,1051914,21000,802,1382,0,0,2,2,0,"ツボが浅すぎる嫁を""笑わせなければ""賞金１００万！？逆イロモネアにしばゆー挑戦www",しばなん,https://www.youtube.com/watch?v=4FWRkHb4swM
528,43912,2514266,54000,676,3122,2,0,1,1,0,【鬱憤爆発】最近ぴえんな事ばっかりで嫌になっちゃう！！！,まあたそのほぼメインちゃんねる,https://www.youtube.com/watch?v=46kxuAAU6vc
673,44000,2839269,59000,2216,2231,0,1,1,1,0,古川優香の最新夏服を着たら地獄だった,エミリン,https://www.youtube.com/watch?v=NBPlzxIV2cY&t=398s
583,44152,919658,20000,714,1804,3,0,1,1,1,【踊ってみた】柏木由紀がAKB48の曲でランダムダンスに挑戦してみた！！,ゆきりんワールド,https://www.youtube.com/watch?v=ni2t_j6vGxw&t=512s
731,43702,1882423,29000,656,1434,1,0,1,1,1,【握手会の朝】初公開！アイドルの握手会の準備は全部セルフなんです！【The Morning of a Meet and Greet】,吉田朱里,https://www.youtube.com/watch?v=uYwyn8J2-IQ&t=103s
884,44059,1646018,29000,356,831,3,1,1,1,0,【整形級】進化したまあたそに毎日メイクやってもらったら顔おかしくなったwww【まあたそ】【ふくれな】,ふくれな,https://www.youtube.com/watch?v=Y1hwgQiVh1E
354,43373,5614727,64000,6789,18764,0,1,0,2,0,【TikTok】日本一のHinataちゃんとTikTokを撮ってTikTok内でバズらせる。【hinataちゃん】,スカイピース,https://www.youtube.com/watch?v=-3Kh6ZnQjMM
483,42869,3091886,200000,9150,19276,0,0,0,7,0,【大流行】イヤホンガンガン伝言ゲームを全員でやったら大爆笑www,フィッシャーず,https://www.youtube.com/watch?v=911roRxqA5c
543,42818,4172483,59000,1536,4530,0,0,0,1,0,韓国の激辛ヌードルをお口に添えた件,けみお,https://www.youtube.com/watch?v=9t-xSepblyE
1641,43480,21941271,130000,3857,13505,0,0,0,6,0,【じゃんけんが全て】第１回 サバイバルしりとり晩御飯！,東海オンエア,https://www.youtube.com/watch?v=iX35yxAxMp0
183,42196,123335360,360000,91000,33258,0,0,0,1,0,世界最大級のグミを1人で食う！（多分）,はじめしゃちょー,https://www.youtube.com/watch?v=uJwa7y6Q6Sw
248,44037,19431641,720000,15000,38499,0,0,1,1,1,Lady Gaga “Rain On Me with Ariana Grande” Official Parody,渡辺直美,https://www.youtube.com/watch?v=psSdawz69kc
957,44112,492470,7356,116,706,3,0,0,2,1,【劇場ルーティン】年間700ステージ！かまいたちの劇場の過ごし方,かまいたち,https://www.youtube.com/watch?v=Yi0vUd_u79U
177,43086,3072562,44000,832,3030,0,0,0,2,0,じんたん二重になったらもっとイケメンになる？！？！,スカイピースの平和島,https://www.youtube.com/watch?v=V2wmynvqiRg
387,42938,7037522,66000,1315,5448,1,0,1,1,0,【第一回】まあたその質問コーナー！,まあたそ,https://www.youtube.com/watch?v=QhMTN85Jz0w
591,42828,44847553,820000,85000,22306,0,0,0,1,0,当たりはなかった？祭りくじで悪事を働く一部始終をban覚悟で完全公開します,ヒカル,https://www.youtube.com/watch?v=30roBDlCA7k
2184,43682,8505624,80000,6361,6046,3,1,0,1,0,DJふぉいがメンバーの秘密暴露するたび1万円？レペゼン地球の問題児は仲間を売って悪魔のように楽しんでました…,ヒカル,https://www.youtube.com/watch?v=nG9hhPKk47k
1737,43597,2683394,31000,925,2778,3,1,0,1,0,【ディズニー】ディズニーランドで１万円使い切るまで帰れまてん！！,みきおだ,https://www.youtube.com/watch?v=rG4KXiSuVJ8&t=50s
760,43289,1981953,19000,462,638,3,0,3,2,0,【ディズニー】夢の国で1万円分食べれるまで帰れま１０,パパラピーズ,https://www.youtube.com/watch?v=3y7ra3Y7QbE&t=617s
556,43326,6314118,83000,9299,5908,3,0,3,2,0,アポなしでいきなり相方の家に突撃訪問したら寝室に女が…！？,ヴァンゆん,https://www.youtube.com/watch?v=VVuSvTwufUE
178,43729,9041608,230000,4356,25553,0,0,1,1,1,10月22日と近況,ほんだのバイク,https://www.youtube.com/watch?v=6oYhz4OUVvc
823,43867,2036464,17000,419,505,3,1,0,1,1,【古川優香＆ぺえ】ウーバーイーツと恋愛トーク,ぺえ,https://www.youtube.com/watch?v=S0yb4LjQxGs
820,44066,4025654,140000,1929,18675,3,0,1,1,1,【初投稿】白石麻衣、３年ぶりの本気スイングです。#1,白石麻衣,https://www.youtube.com/watch?v=DsYdPQ1igvM
380,43314,10714222,110000,2717,7664,0,0,0,6,0,真似厳禁】1ヶ月間てつやの財布からお金を抜き続けたらいくら貯まるの？,東海オンエア,https://www.youtube.com/watch?v=C1Py2E8_RSs
2561,43841,21538163,260000,12000,39280,3,1,0,7,0,【１００分間】日本の王者たちvsシルクロードで本気の鬼ごっこした結果！？【フィッシャーズ】,フィッシャーず,https://www.youtube.com/watch?v=72q4xvCZ8-g
299,44113,586261,28000,83,3148,3,0,0,7,1,惑星ループを7人で超楽しく踊ってみた【7ORDER】,7ORDERS,https://www.youtube.com/watch?v=61SSIo6pZwM
2297,43644,8776845,150000,4989,10433,3,1,0,1,1,【登録者90万人記念】キングコング西野さんが部屋に来てくれました,カジサック,https://www.youtube.com/watch?v=svsAhn7PdHU&t=77s
196,42348,12346183,220000,1365,31800,0,0,2,2,0,【＠小豆とぶんけい】ロケットサイダー踊ってみた【オリジナル振付】,パオパオ,https://www.youtube.com/watch?v=IQb2C4hZWpo
395,43054,1590782,19000,610,756,0,0,0,2,0,【メンズ】いつもの前髪を下ろしたヘアセット,みきおだ,https://www.youtube.com/watch?v=7XpM5qQVkCI
210,43694,2057009,33000,310,2374,1,1,0,1,0,【Hand clap】2週間で10キロ痩せるダンス/HandClap by Fitz and the Tantrums,ヤッピ,https://www.youtube.com/watch?v=n2SmJtXPLtQ&t=83s
173,43740,12647421,130000,3086,5394,2,1,1,1,0,【男女4人】Booo! 踊ってみた 【青春☆しゅわしゅわクラブ】,かす,https://www.youtube.com/watch?v=xg5SYjm7UUs
444,44046,1199275,180000,14000,21584,3,0,0,7,0,フィッシャーズが「夜に駆ける」を原キーで歌ったら大爆笑して泣いた【THE FIRST TAKE】,フィッシャーず,https://www.youtube.com/watch?v=31OI-Ur_KvU&t=79s
445,43164,14231315,200000,7453,10932,2,0,0,2,0,相方が逮捕されたドッキリがヤバい展開になったww,水溜りボンド,https://www.youtube.com/watch?v=et64z0bA1GQ
664,43961,913169,25000,507,2362,0,0,1,1,0,最新の毎日メイク徹底解説！2020春?,なえなの,https://www.youtube.com/watch?v=bDo_se2DU2g
363,42906,14491714,120000,6444,8760,0,0,1,1,0,【激変】あのスッピンブスがとうとうメイク動画投稿するってよ！！【一重から二重】,まあたそ,https://www.youtube.com/watch?v=X-GgGlDL7gg&t=171s
748,43998,443583,8143,565,761,3,0,1,1,0,【毎日メイク】ってやつをやってみたかったけん。見ていくと？,ながえり,https://www.youtube.com/watch?v=lWpnm4OloKY
523,43587,2532651,34000,846,1575,3,0,2,2,0,【カップル】私たち実は運命的な出会いだったんです…,なこなこ,https://www.youtube.com/watch?v=HNuiSpu2Rno
383,42952,7763789,66000,6014,4095,0,0,2,2,0,【モニタリング】彼女が突然タトゥーを入れて来たら彼氏はどうなる？【ふくれな】【M君】,えむれな,https://www.youtube.com/watch?v=Os5uJisAc9o
769,43944,976489,16000,265,775,3,1,1,1,0,じゅっくんにNGなしで100質してみたらヤバすぎた,こなん,https://www.youtube.com/watch?v=9WYZgOO8_hE&t=240s
300,43812,419947,8502,84,264,0,1,0,1,0,話題のゲームしてただけなのに…,せりしゅん,https://www.youtube.com/watch?v=N2qO2sNkxkQ
440,43767,664344,7891,136,415,0,0,1,3,0,【すぐ真似できる】ハロウィンメイク,ヘラヘラ三銃士,https://www.youtube.com/watch?v=nLlsuemC8hQ
989,43864,3362889,27000,1081,1712,3,0,0,2,1,【突撃】せいや宅押しかけたら何の料理ふるまってくれるのか？【霜降り明星】,霜降りチューブ,https://www.youtube.com/watch?v=2cHoJwVYj6I
495,43870,6539655,97000,2228,8844,3,0,1,1,1,実家でまったり過ごします！【Vlog】,はーちゃんねる,https://www.youtube.com/watch?v=T6fB8-zy4MI&t=98s
1630,43798,7206964,55000,7606,9431,3,0,0,1,1,【創価学会①】政党「公明党」を持つ宗教団体、そのルーツに中田が迫る,中田敏彦,https://www.youtube.com/watch?v=N2nhteFg_cI&t=77s
2954,44051,3414433,64000,4058,2799,0,1,0,1,1,【神対談】「狂犬」加藤浩次がすべての闇に触れていく【加藤の乱】,宮迫です,https://www.youtube.com/watch?v=FJzkrKEBb5U
831,43910,6619352,72000,2991,7413,3,0,0,1,1,ローランドのモーニングルーティン | Morning Routine of ROLAND,ローランド,https://www.youtube.com/watch?v=T7rSPnyXWWA
372,42887,15084371,210000,7421,12227,0,0,0,2,0,東大生の店員に理系風に注文したら、賢すぎて返り討ちにされました。東大理三恐るべし、、、,華おでんがん,https://www.youtube.com/watch?v=AMGLJBFkNO4
369,43803,946490,13000,311,1687,0,0,0,1,0,一人暮らし大学生のリアルな休日ルーティン【日常vlog】,パーカー,https://www.youtube.com/watch?v=o1gU-Fjqw4Y
687,43328,6165579,130000,2627,8429,0,0,1,1,0,【完全版】至近距離でも！私の３年間バレなかったアイプチのやり方！悩んでる人、食い込まない人必見！アイメイクにも響かない！【おすすめのアイプチ】,ななこ,https://www.youtube.com/watch?v=R8WXZUVxa5U
354,42808,4322274,91000,3117,11760,0,0,0,4,0,欅坂46「サイレントマジョリティ」全力で踊ってみた。【女装】,アバンティーず,https://www.youtube.com/watch?v=1YTLuXJkH4I
466,43658,1044655,30000,1163,2462,0,0,0,2,0,友達の家に大好きな人の特大ポスターを貼ってみた【ドッキリ】,へきトラ,https://www.youtube.com/watch?v=771r5YnkzU0
899,43318,9608027,71000,2717,5024,0,1,0,6,0,新企画！【絶対に笑ってはいけないw】『レペメンタル1-1』,レペゼン地球,https://www.youtube.com/watch?v=eFKC5LuDK_U
764,43948,502257,9495,323,760,3,0,1,1,1,のんのんのナイトルーティーン【Popteenモデル】,かのんのん,https://www.youtube.com/watch?v=iffd4pg8gJw
1415,44155,717442,31000,489,2865,3,1,0,2,0,【ガチ本物】相方の誕生日にヒカキンさんプレゼントしてみた！！,みきおだ,https://www.youtube.com/watch?v=M91-Jchk8CE&t=95s
834,43980,204574,5922,55,357,3,1,0,1,0,数年ぶりに脳内メーカーしたら当たりすぎて本性暴露された。【みっき?・バンダリ亜砂也】,仲野温,https://www.youtube.com/watch?v=7dTHrz-AAnM&t=523s
612,43863,1812022,24000,384,888,0,1,0,1,0,UberEatsで好きなもの頼んでダラダラお話ししよ！,サグワ,https://www.youtube.com/watch?v=WfpeKUfoaf0
384,43015,1239174,8971,2820,1503,0,0,1,1,0,【裸眼・一重】毎日メイク！！everyday makeup,そわんわん,https://www.youtube.com/watch?v=EFTd8ijN_II
598,43692,563917,11000,280,927,0,0,1,1,0,【食べ歩き】鎌倉＆江ノ島 ひとり旅！,美好くん,https://www.youtube.com/watch?v=QuG3xwUjBH4
295,43845,368245,9064,177,306,3,0,0,1,0,【ジャニヲタ必見】元ジャニーズJr.が絶対に推しからファンサがもらえる方法教えます,吉岡廉,https://www.youtube.com/watch?v=nf21KfCKDVA&t=17s
787,43074,7243639,53000,3385,3652,0,0,1,1,0,後26分で家出るって冗談でしょう。?パッキングメイクヘア?,関根りさ,https://www.youtube.com/watch?v=9s0u7cPvaTk&t=638s
673,43961,1083443,19000,371,536,3,0,1,1,0,【体が喜ぶ9品】発酵活用作り置きをどんどん作る【腸活】【美腸】,一人前食堂,https://www.youtube.com/watch?v=xUZfMxnjcj0&t=276s
793,43627,1193353,300000,1465,0,3,0,1,1,0,【ダイエット】１週間で脚痩せする方法！【脚やせ】,ひなちゃんねる,https://www.youtube.com/watch?v=G29jW4vU-50&t=90s
1753,43866,10815759,50000,5469,2009,3,1,0,1,0,【世界初】ヒカキン & セイキン、真冬のランボルギーニ車中泊。【ランボルギーニ アヴェンタドール S】,セイキン,https://www.youtube.com/watch?v=4AIgVE8xv8o
811,43862,995836,28000,422,1734,3,1,0,2,1,スカイピースさんとコラボブッかま?? 最後罰ゲームで衝撃暴露??　驚きの展開に??,EXIT,https://www.youtube.com/watch?v=Mug6VWE6BDU
193,43824,1508295,22000,452,1022,0,1,1,1,0,「Booo！」踊ってみた！【せりしゅん君】,さくら,https://www.youtube.com/watch?v=GTb8aYmhxoo
613,43349,807040,10000,244,634,0,1,1,1,0,みっき～さんにメイクしてもらいました。ONE-SHOT,佐藤ノア,https://www.youtube.com/watch?v=wvX-1Z9aVe8&t=187s
481,43895,959497,14000,403,896,3,0,1,1,0,前髪のコンディション大事すぎ,古川優香,https://www.youtube.com/watch?v=B7Z78X-lo1c
487,43780,3625900,59000,1833,3936,0,0,1,1,0,【プチプラ】秋冬コスメを真面目に全力レビューしながらフルメイクしたら爆盛れした！！！,まあたそ,https://www.youtube.com/watch?v=mdj5zPZnodY
427,43022,3593411,41000,1856,1690,0,1,1,1,0,岡山が産んだ奇跡のブサイク！まあたそにハーフメイクした結果…l アイプチせず一重からデカ目メイク【CHANGE-MAKEUP BY MARILYN #05】,マリリン,https://www.youtube.com/watch?v=oNn3QKV_WqM
758,43943,3260914,67000,1260,3343,2,0,1,1,1,ふっつーのメイク動画???????????,仲里依紗,https://www.youtube.com/watch?v=LdFTS6anfSg&t=597s
773,44128,2303649,100000,680,7580,3,0,1,1,1,【これで見納め】厳選74着！乃木坂衣装でガールズルール【本人が踊ってみた】#10,白石麻衣,https://www.youtube.com/watch?v=XHxmNN_8ZOo
1059,44141,1549179,28000,529,1379,3,0,1,1,1,【涙サプライズ】ファンの方同士の結婚式に黙って凸ってきたよ♪【感動ドッキリ】,板野友美,https://www.youtube.com/watch?v=tgqG2gwFkBI
2016,43917,2759017,61000,1103,3655,0,1,0,1,1,夫婦でお互いにメイクしてみたよ?????????,りゅうちぇる,https://www.youtube.com/watch?v=Dras6M2x8rc
840,43824,1927503,33000,741,2677,0,1,0,1,0,【サンタさんはいるよ】総額100万円のクリスマスプレゼントを用意しました！！！,テオくんホーム,https://www.youtube.com/watch?v=Nlw_z2RDqqM
1246,44150,686175,14000,178,649,3,0,0,1,1,【愛犬のシャンプー】みやぞん、ビーグル犬のラブとペットサロンに行くのですが…,ミヤゾン,https://www.youtube.com/watch?v=eZ69fZvsuvo
612,43761,1338360,21000,306,2402,0,1,0,1,0,女子高生達に『正直どっちの方が好き？』と聞いたら回答がヤバすぎたwwwww,じゅきぱっぱ,https://www.youtube.com/watch?v=5H0-E5rMpbQ&t=11s
686,43603,3207478,33000,1001,4867,3,1,1,1,0,【最新】女性トップYouTuber達に聞いた本当に可愛い&イケメンのYouTuberはこの人だ！【運動会裏側】,えっちゃん,https://www.youtube.com/watch?v=KIttk7__0mk
712,43935,2067163,34000,508,1641,1,0,1,3,0,【あつ森】バレずに島荒らしドッキリ,ヘラヘラ三銃士,https://www.youtube.com/watch?v=yii3nZH89Bw
1117,43280,5457650,56000,5028,9542,0,1,0,1,0,【女王集結】女性YouTuberたちと飲みながら本音トークしてみたら爆笑www,ヒカキン,https://www.youtube.com/watch?v=2R9_bkcWNd4
612,43026,4359770,49000,1245,3659,0,0,0,1,0,東大生でも四国がオーストラリアになっていたら気づかない説,クイズのっく,https://www.youtube.com/watch?v=hMLRU_ZhBZs
361,42616,10150974,95000,4281,9196,0,0,0,7,0,シルクと元彼女喋らせると喧嘩になります。,フィッシャーず,https://www.youtube.com/watch?v=SXLT4-3cYdM
231,44063,5399791,160000,2288,11213,2,1,1,1,0,【踊ってみた】ハッピーウェディング前ソング（かすてらver.）,かす,https://www.youtube.com/watch?v=2da4ugvYPyI
619,44106,1000798,28000,322,1303,0,1,0,1,0,【みきおだコラボ】リスナーからの質問にガチで全部答えます！！,じゅきや,https://www.youtube.com/watch?v=9oZa2KjlyEM&t=296s
